Communication_number,Social_unit,Part_exchange,Gesture_start_time,Duration_analysis_include,Mau_end_time,Outcome_time,Outcome,Sgn_ID,Rcp_ID,Signaller_age,Recipient_age,Goal_anon
100675,Sonso,1_1,9.92,Include,10.4,32.36,OtherSignaller,ID_138,ID_48,5,9,NA
100675,Sonso,1_1,6,Include,8.52,32.36,OtherSignaller,ID_138,ID_48,5,9,NA
100675,Sonso,1_1,27.96,Include,28.84,32.36,OtherSignaller,ID_138,ID_48,5,9,NA
310179,Kalinzu,1_1,865.251,Include,865.367,868.466,GoalRecipient,ID_139,ID_50,21,NA,Goal_10
310179,Kalinzu,1_1,863.357,Include,864.187,868.466,GoalRecipient,ID_139,ID_50,21,NA,Goal_10
310180,Kalinzu,1_1,1111.23,Include,1115.755,1114.312,GoalRecipient,ID_139,ID_50,21,NA,Goal_7
101834,Sonso,1_1,2.24,Include,3.48,8.32,GoalRecipient,ID_138,ID_100,5,5,Goal_7
100902,Sonso,1_1,48.92,Include,49.44,60.32,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100903,Sonso,1_1,77.28,Include,78.08,79.76,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100901,Sonso,1_1,0,ExcludeStart,0.32,3.48,TimeExcludeAmbiguous,ID_138,ID_136,5,33,Goal_34
100899,Sonso,1_1,2.32,Include,2.88,4,TimeExcludeRecipient,ID_138,ID_136,5,33,Goal_34
100902,Sonso,1_1,56.12,Include,56.72,60.32,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100902,Sonso,1_1,57.88,Include,59.08,60.32,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100904,Sonso,1_1,81.765,Include,82.56,83.12,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100895,Sonso,1_1,12.8,Include,13.8,14.8,GoalRecipient,ID_138,ID_136,5,33,Goal_18
100903,Sonso,1_1,76.52,Include,77.12,79.76,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100902,Sonso,1_1,50,Include,51,60.32,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100903,Sonso,1_1,72.84,Include,73.68,79.76,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100899,Sonso,1_1,0,Include,0.48,4,TimeExcludeRecipient,ID_138,ID_136,5,33,Goal_34
100902,Sonso,1_1,53.32,Include,53.8,60.32,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100905,Sonso,1_1,0,ExcludeStart,0.24,3.84,TimeExcludeRecipient,ID_138,ID_136,5,33,Goal_34
100905,Sonso,1_1,1.24,Include,1.32,3.84,TimeExcludeRecipient,ID_138,ID_136,5,33,Goal_34
100903,Sonso,1_1,76.52,Include,76.88,79.76,GoalRecipient,ID_138,ID_136,5,33,Goal_17
100905,Sonso,1_1,0,Include,0.72,3.84,TimeExcludeRecipient,ID_138,ID_136,5,33,Goal_34
310009,Kalinzu,1_1,31.52,Include,33.269,36.434,TimeExcludeRecipient,ID_139,ID_149,21,2,Goal_6
310171,Kalinzu,1_1,65.884,Include,66.764,73.555,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310008a,Kalinzu,3_3,639.942,Include,641.445,645.794,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310074,Kalinzu,1_1,52.064,Include,53.418,54.961,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310171,Kalinzu,1_1,63.425,Include,65.259,73.555,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310008a,Kalinzu,1_3,633.753,ExcludeEnd,635.134,645.794,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310011,Kalinzu,1_1,231.823,Exclude,232.894,234.874,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310074,Kalinzu,1_1,53.537,Include,53.894,54.961,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310075,Kalinzu,1_1,54.587,Include,56.417,57.361,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310076,Kalinzu,1_1,32.637,Include,34.388,35.878,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310130,Kalinzu,1_1,405.861,Include,408.461,407.328,TimeExcludeRecipient,ID_139,ID_149,21,2,Goal_38
310171,Kalinzu,1_1,53.283,Include,55.068,73.555,GoalRecipient,ID_139,ID_149,21,2,Goal_6
310008a,Kalinzu,1_3,631.025,Include,632.524,645.794,GoalRecipient,ID_139,ID_149,21,2,Goal_6
